MONTHLY_PERIOD,VARCHAR2(10 CHAR)
INSTRUMENT_PARENT_NK,VARCHAR2(255)
JSEC_MATURITY_DATE,DATE
ISSUE_DT,DATE
FIRST_SETTLE_DT,DATE
CONTRACT_VALUE,"NUMBER(38,18)"
INSTRUMENT_ID,VARCHAR2(255 CHAR)
INSTRUMENT_ID_TYPE,VARCHAR2(100 CHAR)
INSTRUMENT_SOURCE,VARCHAR2(50 CHAR)
JSEC_ID,VARCHAR2(100)
JSEC_EXCHANGE_CODE,VARCHAR2(50 CHAR)
JSEC_ISIN,VARCHAR2(50 CHAR)
JSEC_CUSIP,VARCHAR2(50 CHAR)
JSEC_SEDOL,VARCHAR2(50 CHAR)
JSEC_ADP_NUM,VARCHAR2(50 CHAR)
JSEC_TICKER,VARCHAR2(50 CHAR)
JSEC_ID_BB_GLOBAL,VARCHAR2(50)
JSEC_ID_BB_UNIQUE,VARCHAR2(50)
JSEC_IOM_INSTID,VARCHAR2(50)
JSEC_GLOSS_ID,VARCHAR2(50)
JSEC_JDOE_FO_ID,VARCHAR2(50)
JSEC_JDOE_ID,VARCHAR2(50)
JSEC_JDOE_NEW_OPRA,VARCHAR2(50)
JSEC_LIQ_FACILITY_ID,VARCHAR2(50)
JSEC_OCC_CODE,VARCHAR2(50)
JSEC_OMNIUM_BB_YK_ID,VARCHAR2(50)
JSEC_OPRA_SYMBOL,VARCHAR2(50)
JSEC_SWAP_DEAL_REF,VARCHAR2(50)
JSEC_TRADE_ID,VARCHAR2(50)
JSEC_WINFITS_SEC_ID,VARCHAR2(50)
JSEC_OPRA_ROOT,VARCHAR2(24)
JSEC_PH_CODE,VARCHAR2(50 CHAR)
JSEC_PH_DESC,VARCHAR2(100 CHAR)
JSEC_PH_COLUMN_STRING,VARCHAR2(255 CHAR)
JSEC_PH_COLUMN_VALUE,VARCHAR2(255 CHAR)
JSEC_PROD_SUB_TYPE,VARCHAR2(255 CHAR)
JSEC_PROD_SUB_TYPE_DRIVER,VARCHAR2(255 CHAR)
JSEC_CAPRI_SUB_TYPE,VARCHAR2(200)
JSEC_NAME,VARCHAR2(255 CHAR)
JSEC_ISSUER,VARCHAR2(255 CHAR)
JSEC_MATCHED_ID_TYPE,VARCHAR2(50 CHAR)
JSEC_HAS_EXTERNAL,NUMBER(19)
JSEC_HAS_INTERNAL,NUMBER(19)
JSEC_ACTIVITY_FLAG,CHAR(2)
BBRG_TABLE_NAME,VARCHAR2(100)
BBRG_UNIQUE_KEY,VARCHAR2(100)
COUNTRY_ISO,VARCHAR2(100)
CNTRY_OF_INCORPORATION,VARCHAR2(100)
CPN_TYP,VARCHAR2(100)
CALLABLE,VARCHAR2(100)
PUTABLE,VARCHAR2(100)
INFLATION_LINKED_INDICATOR,VARCHAR2(100)
COLLAT_TYP,VARCHAR2(100)
MTG_DEAL_TYP,VARCHAR2(100)
MTG_IS_AGENCY_BACKED,VARCHAR2(100)
SECURITY_TYP,VARCHAR2(100)
IS_PERPETUAL,VARCHAR2(100)
OPT_PUT_CALL,VARCHAR2(100)
CNTRY_OF_DOMICILE,VARCHAR2(100)
WHEN_ISSUED,VARCHAR2(100)
TYPE_OF_BOND,VARCHAR2(100)
